shortname: benhoyt_goawk-BuiltinGsubAmpersand
geomean,4.535999999999998e-07,,2.0300000000000017e-06,,+347.53%,,1.5529999999999994e-06,,+242.37%,

shortname: gonum_mat-Pool100by100Uncleared
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Pool100by100Uncleared,1.7149999999999998e-08,0%,5.469e-08,0%,+218.89%,p=0.008 n=5,3.373e-08,1%,+96.68%,p=0.008 n=5
geomean,1.715e-08,,5.468999999999998e-08,,+218.89%,,3.372999999999994e-08,,+96.68%,

shortname: gonum_mat-TriMulDiag%2FBenchmarkTriMulDiag100
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
TriMulDiag,4.3737000000000005e-05,0%,0.000134162,1%,+206.75%,p=0.008 n=5,0.00011030600000000001,2%,+152.20%,p=0.008 n=5
geomean,4.3736999999999985e-05,,0.000134162,,+206.75%,,0.00011030600000000007,,+152.20%,

shortname: gonum_mat-UnmarshalVecDense10
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
UnmarshalVecDense10,2.588e-07,0%,1.5020000000000002e-06,1%,+480.37%,p=0.008 n=5,1.137e-06,1%,+339.34%,p=0.008 n=5
geomean,2.587999999999998e-07,,1.5019999999999993e-06,,+480.37%,,1.136999999999999e-06,,+339.34%,

shortname: gonum_topo-SortStabilizedPath_100000
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
SortStabilizedPath_100000,0.13365818100000001,3%,0.26677205600000004,1%,+99.59%,p=0.008 n=5,0.24249018600000002,2%,+81.43%,p=0.008 n=5
geomean,0.133658181,,0.26677205600000004,,+99.59%,,0.24249018600000002,,+81.43%,

shortname: gonum_traverse-WalkAllDepthFirstGnp_100_half
,Go,,LLGo,,,,LLGoFullLTO,,,
